Index;Text;Verb_Syllables;Structural_priming;NP_Givenness;NP_Length;NP_Concreteness;NP_starting_tone;Response;Filename;TimePeriod;TimePeriod2;Genre;Formality;Mode;Region
1700;...有饭大家吃，无论如何，不叫我一家人饿肚子。甚至有的朋友，愿意[[[拿出钱来]]]，叫我经营一间咖啡馆。这些温暖的友情，有生之涯，我是不会忘记的...;1;No;New;1;Non-concrete;2;Split;1940s\1949\报刊\人民日报\rmrb_1949_10.txt;1940s;2;News_report;Higher;Written;Mainland
711;...他出来以后还能行医不能呢？我要是劝着他别多下石膏，也许不至再[[[惹出祸来]]]！”;1;No;New;1;Non-concrete;4;Split;1930s\1933\文学\1933 老舍 离婚.txt;1930s;1;Fiction;Lower;Written;Mainland
555;...。金铨便问道：“阿三呢？哪里去了？倒偏是他忙。”燕西生怕父亲[[[追出原由来]]]，说道：“家里人都来吃饭了。一个招待的没有，究竟不好，三哥是在...;1;No;New;2;Non-concrete;2;Split;1930s\1932\文学\1932 张恨水 金粉世家.txt;1930s;1;Fiction;Lower;Written;Mainland
1032;...安的缘故。萧皇后虽觉心中有些醋意，只是见炀帝愁眉不展，深恐他[[[闷出病来]]]，当下却不说什么，暗里却命人星夜奔至长安。用一肩轻舆，将宣华夫...;1;No;New;1;Non-concrete;4;Split;1930s\193x\文学\小说笔记\193x 张恂子 隋代宫闱史.txt;1930s;1;Fiction;Lower;Written;Mainland
489;他的嘴唇微微地颤动，他似乎要哭了，但是他并没有[[[流出眼泪来]]]。;1;No;New;2;Concrete;3;Split;1930s\1931\文学\大陆作家\1931 巴金 家.txt;1930s;1;Fiction;Lower;Written;Mainland
1854;...解决。”清华大学有的群众反映说：“党员就是面孔板起，很严肃，[[[说出话来]]]一套一套的都是原则。”因此他们觉得党员“可敬而不可亲”。但因这...;1;No;New;1;Non-concrete;4;Split;1950s\1950\报刊\人民日报\rmrb_1950_05.txt;1950s;2;News_report;Higher;Written;Mainland
1853;...。但是现在，斯德哥尔摩一家大旅馆的主人而竟把约里奥·居里教授[[[撵出旅馆来]]]！而竟说得出口这样的话：“约里奥·居里先生，你作为有名的学者，...;1;No;New;2;Concrete;3;Split;1950s\1950\报刊\人民日报\rmrb_1950_05.txt;1950s;2;News_report;Higher;Written;Mainland
1708;...决议中要求“成立一个执行和平政策并满足工人要求及强迫财阀富豪[[[拿出钱来]]]的民主政府”。;1;No;New;1;Non-concrete;2;Split;1940s\1949\报刊\人民日报\rmrb_1949_10.txt;1940s;2;News_report;Higher;Written;Mainland
1652;...奔东间。班长斜着眼睛看见鱼，笑着说：“哈！送鱼来啦？”高屯儿[[[亮出枪来]]]，对准他说：“着，吃鱼吧！”班长吓傻了眼儿。剃头师傅剃了半个脑...;1;No;New;1;Concrete;1;Split;1940s\1949\报刊\人民日报\rmrb_1949_06.txt;1940s;2;News_report;Higher;Written;Mainland
228;...给那衙役们知道，自己无端地受累，以是一哄地走散了。朱太祖也怕[[[弄出事来]]]，只对胡铁口笑着点点头，趁势和廖贞走开了。朱太祖沿路乘着灯光月...;1;No;New;1;Non-concrete;4;Split;1920s\1927\文学\小说笔记\1927 许啸天 明代宫闱史.txt;1920s;1;Fiction;Lower;Written;Mainland
537;...说是没有，茶房必会反驳的。若真没有这事，话就遮掩过去了，免得[[[露出马脚来]]]。现在茶房果然说没有，就默然了。他不作声，梅丽不便作声，燕西也...;1;No;New;2;Non-concrete;3;Split;1930s\1932\文学\1932 张恨水 金粉世家.txt;1930s;1;Fiction;Lower;Written;Mainland
1024;祥子点了点头，没[[[说出话来]]]。;1;No;New;1;Non-concrete;4;Split;1930s\1939\文学\1939 老舍 骆驼祥子.txt;1930s;1;Fiction;Lower;Written;Mainland
721;...心上，也有人在我面前做媒；你们只管瞒住了我鬼混，将来岂不是要[[[闹出笑话来]]]么？”;1;No;New;2;Non-concrete;4;Split;1930s\1933\文学\1933 茅盾 子夜.txt;1930s;1;Fiction;Lower;Written;Mainland
1686;“如果你能给我[[[找出证据来]]]，那就完全是另一番话了。”;1;No;New;2;Non-concrete;4;Split;1940s\1949\报刊\人民日报\rmrb_1949_08.txt;1940s;2;News_report;Higher;Written;Mainland
1642;...苇丛里的小船都钻出来，大家着急的要开枪。可是赵五更从汽船旁边[[[露出头来]]]了。五更那精瘦的身上流着水，悄悄的扒着船梆，往里瞧，见一个日本...;1;No;New;1;Concrete;2;Split;1940s\1949\报刊\人民日报\rmrb_1949_06.txt;1940s;2;News_report;Higher;Written;Mainland
94;...一句话，问得朱湘藩心里如利刀刺得一般的痛苦，两眼不由得扑簌簌[[[流出泪来]]]，悲声说道：“今日的事，公使若不能设法替参赞出气，参赞无面目见...;1;No;New;1;Concrete;4;Split;1920s\1922\文学\小说笔记\1922_10_1 向恺然 留东外史续集.txt;1920s;1;Fiction;Lower;Written;Mainland
1152;...，不，他不能这样轻易屈服，他得作点什么，使心中畅快。他极快的[[[掏出枪来]]]，赶上几步，高声的喊道：“你站住！”;1;No;New;1;Concrete;1;Split;1940s\1944\文学\1944 老舍 贫血集_八太爷.txt;1940s;2;Fiction;Lower;Written;Mainland
1294;...好买卖，还要坚持下去。好罢，让他做下去吧，在不久的将来，就会[[[算出总账来]]]的。”（泽然）;1;No;New;2;Non-concrete;3;Split;1940s\1947\报刊\人民日报\rmrb_1947_02.txt;1940s;2;News_report;Higher;Written;Mainland
1356;...天风怪，用新秤秤面三两，夏秋天气潮湿，用面三两半，冬天四两，[[[织出布来]]]，又平，织的又不断。”东安居又介绍经线机如何省工。大家说：咱们...;1;No;New;1;Concrete;4;Split;1940s\1947\报刊\人民日报\rmrb_1947_08.txt;1940s;2;News_report;Higher;Written;Mainland
1452;...的政府。这个政府将实行真正改革，和征发海外法国财产，使有钱人[[[拿出钱来]]]，这个政府将制止通货膨胀，并首先严格的削减军费以平衡预算，这只...;1;No;New;1;Non-concrete;2;Split;1940s\1948\报刊\人民日报\rmrb_1948_07.txt;1940s;2;News_report;Higher;Written;Mainland
1705;...的区域，一个福州或广州人，跟一个北京人，说话几乎完全听不懂，[[[写出字来]]]是一样的。自从改革汉字的运动盛行以后，文字配合语言的问题，就特...;1;No;New;1;Concrete;4;Split;1940s\1949\报刊\人民日报\rmrb_1949_10.txt;1940s;2;News_report;Higher;Written;Mainland
933;...不同了，大家好象都晓得作了官，男的开始跟他过话，女的也都对他[[[拿出笑脸来]]]，仆人们向他道喜讨赏，小孩们吵嚷着叫他请客。有个新来的女仆居然...;1;No;New;2;Concrete;4;Split;1930s\1936\文学\1936 老舍_文博士.txt;1930s;1;Fiction;Lower;Written;Mainland
1458;...务，主观盲干。开采公家树煤窑时，事先没研究，浪费了很多钱，没[[[开出煤来]]]，以致工人工资无法解决。其次，存在有关宗派及窑界等纠纷。如利民...;1;No;Given;1;Concrete;2;Split;1940s\1948\报刊\人民日报\rmrb_1948_08.txt;1940s;2;News_report;Higher;Written;Mainland
57;...白天全有工作，要他熬夜，是不合情理的。在这迟疑之中，双喜可又[[[看出底细来]]]了，便又大声的说道，“我写包票！船又大；迅哥儿向来不乱跑；我们...;1;No;New;2;Non-concrete;3;Split;1920s\1922\文学\1922 鲁迅 社戏.txt;1920s;1;Fiction;Lower;Written;Mainland
1817;...说的纯洁性，就必须坚决揭露一切马列主义伪装，使它们在群众面前[[[露出原形来]]]。;1;No;New;2;Non-concrete;2;Split;1950s\1950\报刊\人民日报\rmrb_1950_03.txt;1950s;2;News_report;Higher;Written;Mainland
95;...商人起这种不体面的诉讼，纵不怕皇上见罪，他们学生知道了，又要[[[闹出风潮来]]]。”朱湘藩道：“然则参赞吃了这么大亏，就善罢甘休不成？那么使署...;1;No;New;2;Non-concrete;1;Split;1920s\1922\文学\小说笔记\1922_10_1 向恺然 留东外史续集.txt;1920s;1;Fiction;Lower;Written;Mainland
1094;...院。两个老人若在大槐树下相遇而立定了，两家的晚辈便必定赶快的[[[拿出凳子来]]]，因为他们晓得两个老人的谈话多数是由五六十年前说起，而至少须花...;1;No;New;2;Concrete;4;Split;1940s\1944\文学\1944 老舍 四世同堂第一部_惶惑.txt;1940s;2;Fiction;Lower;Written;Mainland
179;...实在有趣，我却总不敢译，因为怕一则译不好，二则要译错。现在只[[[抄出一行来]]]，看那四样是什么鸟。第一种是勃姑，书名鸠，他是自呼其名的，可以...;1;No;New;2;Concrete;1;Split;1920s\1925\文学\1925 周作人 鸟声.txt;1920s;1;Fiction;Lower;Written;Mainland
2000;...物有敏锐的感觉，不断地从分析新的形势中“找出方针，制定政策，[[[拿出办法来]]]”。中国革命的胜利，正是说明着这一事实。;1;No;New;2;Non-concrete;4;Split;1950s\1951\报刊\人民日报\rmrb_1951_02.txt;1950s;2;News_report;Higher;Written;Mainland
1072;士洪拍手道：“我说人家要笑你，你们那些华侨，[[[取出名字来]]]，实在欠大方。”;1;No;New;2;Non-concrete;2;Split;1940s\1944\文学\1944 张爱玲 红玫瑰与白玫瑰.txt;1940s;2;Fiction;Lower;Written;Mainland
350;...打个胜仗，你又怎么样呢？”王饶被他这几句抢白得暴跳如雷，飕地[[[拔出剑来]]]，剔起眼睛向吴汉说道：“谁来和你拌嘴？今天先将你这个狗头杀了再...;1;No;New;1;Concrete;4;Split;1920s\1928\文学\小说笔记\1928 徐哲身 汉代宫廷艳史.txt;1920s;1;Fiction;Lower;Written;Mainland
1013;谁也不肯发言。静了一会儿，都慢慢低下头去，不敢相看，恐怕[[[落出泪来]]]。;1;No;New;1;Concrete;4;Split;1930s\1939\文学\1939 老舍 蜕.txt;1930s;1;Fiction;Lower;Written;Mainland
887;...只是个和尚，并未做过上帝。人云亦云，我不但不敢信。他们也未尝[[[拿出证据来]]]，证明他们曾经在那一辈子里，做过天上的仙官。;1;No;New;2;Non-concrete;4;Split;1930s\1936\文学\1936 俞平伯 性（女）与不净.txt;1930s;1;Fiction;Lower;Written;Mainland
385;...，不好做也不做，谁也不敢来强迫我们。如果依你这样暴力，岂不要[[[闹出乱子来]]]么？”;1;No;New;2;Non-concrete;4;Split;1920s\1928\文学\小说笔记\1928 徐哲身 汉代宫廷艳史.txt;1920s;1;Fiction;Lower;Written;Mainland
392;李子荣把壶轻轻的拿下来，递给马老先生。马老先生[[[掏出手绢来]]]，把茶壶包好，交给马威提着。;1;No;New;2;Concrete;4;Split;1920s\1929\文学\1929 老舍 二马.txt;1920s;1;Fiction;Lower;Written;Mainland
1944;...套。这还不算，几个美国兵还偷了我四十多套。我抓住他们，他们就[[[拿出手枪来]]]说：‘你要这个的’”。马宏焯说：“东交民巷美国领事馆门前，美国...;1;No;New;2;Concrete;3;Split;1950s\1950\报刊\人民日报\rmrb_1950_11.txt;1950s;2;News_report;Higher;Written;Mainland
1095;...是随便的乱猜，赎错了东西才麻烦呢！于是，他的嘴唇动了动，而没[[[说出话来]]]。;1;No;New;1;Non-concrete;3;Split;1940s\1944\文学\1944 老舍 四世同堂第一部_惶惑.txt;1940s;2;Fiction;Lower;Written;Mainland
402;...柳遇春近来的态度，是恭顺而谨慎；是一种惟恐又因口舌上的误会而[[[闹出乱子来]]]的那样谨慎。他很出力地替梅女士买东西买书，仿佛认为非此不足以报...;1;No;New;2;Non-concrete;4;Split;1920s\1929\文学\1929 茅盾 虹_长篇.txt;1920s;1;Fiction;Lower;Written;Mainland
1527;老孙头说：“我的拳头[[[捏出水来]]]了。”;1;No;New;1;Concrete;4;Split;1940s\1948\文学\1948 周立波 暴风骤雨.txt;1940s;2;Fiction;Lower;Written;Mainland
1102;...大家坐好，开会。校长立起来，眼看着对面的墙壁，足有三分钟没有[[[说出话来]]]。瑞宣低着头，说了声：“校长请坐吧！”校长象犯了过错的小学生似...;1;No;New;1;Non-concrete;4;Split;1940s\1944\文学\1944 老舍 四世同堂第一部_惶惑.txt;1940s;2;Fiction;Lower;Written;Mainland
940;...来了，他会用脊背蹭，把臭虫辗碎。他们睡去，虎太太由天赐的袋中[[[掏出票子来]]]，上了街，去买布——三个人一人一件大褂料，她并不自私。;1;No;New;2;Concrete;4;Split;1930s\1936\文学\1936 老舍_牛天赐传.txt;1930s;1;Fiction;Lower;Written;Mainland
789;...鬼子笑得更下贱了，好像这样麻烦是应当应分，喝，登时从柜台下面[[[抽出簿子来]]]，刷刷的就写；写完，又一伸手，钱是钱，票于是票子，没有一眨眼的...;1;No;New;2;Concrete;4;Split;1930s\1934\文学\1934 老舍 取钱.txt;1930s;1;Fiction;Lower;Written;Mainland
1215;...这事，喜悦的面孔立刻变得忧闷起来了，他知道哥哥当过伪军，是会[[[干出坏事来]]]的，他一夜都睡不着的在想着过去的事情。;1;No;New;2;Non-concrete;4;Split;1940s\1946\报刊\人民日报\rmrb_1946_09.txt;1940s;2;News_report;Higher;Written;Mainland
801;...一天到晚填我的女儿来着？没听大夫说吗？老叫儿媳妇的嘴不闲着，[[[吃出毛病来]]]没有？我见人见多了，就没看见一个象你这样的婆婆！”;1;No;New;2;Non-concrete;2;Split;1930s\1934\文学\1934 老舍 赶集_抱孙.txt;1930s;1;Fiction;Lower;Written;Mainland
1053;...?可是，在这种时候，母亲的心横起来，她不慌不哭，要从无办法中[[[想出办法来]]]。她的泪会往心中落!这点软而硬的个性，也传给了我。我对一切人与...;1;No;New;2;Non-concrete;4;Split;1940s\1943\文学\1943 老舍 我的母亲.txt;1940s;2;Fiction;Lower;Written;Mainland
564;...关系，她就特别对我要好，这话我简直不能明白。”白莲花在斗篷里[[[伸出手来]]]，握着松拳头，在燕西大腿上轻轻捶了一下。笑道：“你这人真是蘑菇...;1;No;New;1;Concrete;3;Split;1930s\1932\文学\1932 张恨水 金粉世家.txt;1930s;1;Fiction;Lower;Written;Mainland
1607;...，同样，也不可能把害虫运到北平来杀死。技术人员必须下乡，才能[[[做出事业来]]]。关上门作脱离现实的试验研究，是不会对农民有什么贡献与帮助的。...;1;No;New;2;Non-concrete;4;Split;1940s\1949\报刊\人民日报\rmrb_1949_04.txt;1940s;2;News_report;Higher;Written;Mainland
544;...落花胡同的地名，耳朵里好象很熟，怎样她住在那里？燕西听到清秋[[[说出地名来]]]，就对她望了一望，好象很诧异似的。清秋见燕西如此，脸色也就动了...;1;No;Given;2;Non-concrete;4;Split;1930s\1932\文学\1932 张恨水 金粉世家.txt;1930s;1;Fiction;Lower;Written;Mainland
